smiles,Standardized_SMILES
CC(=O)NC1=NC=CC(C2=CC(C3=CC=CC=C3)=NO2)=N1,CC(=O)Nc1nccc(-c2cc(-c3ccccc3)no2)n1
CCCCCCS(=O)(=O)NC1=CC=C(NC2=C3C(=NC4=CC=CC=C24)C=CC=C3)C(OC)=C1.CS(=O)(=O)O,CCCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c(OC)c1
COC1=CC=CC=C1C1=CC(C)=C(NC2=CC=NC(NC3=CC=C(C#N)C=C3)=N2)C(C)=C1,COc1ccccc1-c1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1
CC(O)C1=CC2=C(S1)C(=O)C1=C(C(C(C)O)=CS1)C2=O,CC(O)c1cc2c(s1)C(=O)c1scc(C(C)O)c1C2=O
COC1=CC=CC(C2=CC(C(=O)NC3=CC4=CC=C(OC5CC(C)C[C@@H](O)[C@H]5O)C(C)=C4OC3=O)=CC=C2OC)=C1,COc1cccc(-c2cc(C(=O)Nc3cc4ccc(OC5CC(C)C[C@@H](O)[C@H]5O)c(C)c4oc3=O)ccc2OC)c1
O=C(O)C1=CC=C(SCC2=CC=CC(F)=C2)C=N1,O=C(O)c1ccc(SCc2cccc(F)c2)cn1
CC(C)CCCCCCCCCCCCCCNC1=CC=C(C(=O)O)C=C1,CC(C)CCCCCCCCCCCCCCNc1ccc(C(=O)O)cc1
CC1=C(C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)SC(C2=CC=CC=C2)=N1,Cc1nc(-c2ccccc2)sc1C1=NN(c2ccccc2)C(c2ccccc2)C1
CC(NC(=O)C1=CC=C(NC(=O)N2CC3=CC=CC=C3C2)C=C1)C1(C)CC1,CC(NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1)C1(C)CC1
CC(C)CC1=CC=C(C(C)C(=O)N2CCN(C3=NC=CC=C3C(=O)NC(C(N)=O)C(C)O)CC2)C=C1,CC(C)Cc1ccc(C(C)C(=O)N2CCN(c3ncccc3C(=O)NC(C(N)=O)C(C)O)CC2)cc1
CSC1=CC=C(C(=O)N[C@@H](CCC/N=C(\N)N[N+](=O)[O-])C(=O)N[C@@H](CC(C)C)C(N)=O)C=C1,CSc1ccc(C(=O)N[C@@H](CCC/N=C(\N)N[N+](=O)[O-])C(=O)N[C@@H](CC(C)C)C(N)=O)cc1
CC1=C(C)C2=C(SCC3=NN=C(C4=CC=CC=C4)O3)N=CN=C2S1,Cc1sc2ncnc(SCc3nnc(-c4ccccc4)o3)c2c1C
O=CC1=CC=C([C@H](O)[C@H](O)CO)N1CCC1=CC=C(O)C=C1,O=Cc1ccc([C@H](O)[C@H](O)CO)n1CCc1ccc(O)cc1
CC1=CC=C(C)C(NC(=O)CN2N=C(C)C3=CC=CC=C3C2=O)=C1,Cc1ccc(C)c(NC(=O)Cn2nc(C)c3ccccc3c2=O)c1
CCCCC(=O)OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,CCCCC(=O)Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
CCOC1=CC=C2N=C(N(CCCN(C)C)C(=O)C3=CC=C4C(=C3)CCCC4)SC2=C1.Cl,CCOc1ccc2nc(N(CCCN(C)C)C(=O)c3ccc4c(c3)CCCC4)sc2c1
C1=CC2=CC(C3=C(C4=CSC=C4)ON=C3C3=CC=C4C(=C3)OCO4)=CC=C2N1,c1cc2cc(-c3c(-c4ccc5c(c4)OCO5)noc3-c3ccsc3)ccc2[nH]1
CCOC(=O)/C=C/C1=CC(CN2CCN(C3=CC=CC=N3)CC2)=CC(C(N)=O)=C1,CCOC(=O)/C=C/c1cc(CN2CCN(c3ccccn3)CC2)cc(C(N)=O)c1
